dist,n,run,algorithm,wall_ms
staggered,268435456,4,cpu-stdsort-par,926.938
staggered,268435456,5,cpu-stdsort-par,927.350
staggered,536870912,1,cpu-stdsort-par,1916.305
staggered,536870912,2,cpu-stdsort-par,1925.618
staggered,536870912,3,cpu-stdsort-par,1911.789
staggered,536870912,4,cpu-stdsort-par,1917.975
staggered,536870912,5,cpu-stdsort-par,1911.695
staggered,1073741824,1,cpu-stdsort-par,4117.806
staggered,1073741824,2,cpu-stdsort-par,4117.974
staggered,1073741824,3,cpu-stdsort-par,4179.693
staggered,1073741824,4,cpu-stdsort-par,4251.649
staggered,1073741824,5,cpu-stdsort-par,4133.701
