device,key,distribution,n,run,algorithm,wall_ms,gpu_ms,threads,maxseq,minseq,phase1_iterations,phase1_sequences,max_stack_depth,verified,gpuqsort_version,metallib_sha256,tuning_entry,os_version
Apple M5 Max,uint32,uniform,1073741824,5,gpu-quicksort,971.281,904.363,512,65536,4096,16,65536,3,true,0.5.0,daefabcd5b9a6b33c15bbfb51561bd493900dc5a37ad5b75a09f8ca0da89ca3b,Apple M5 Max,Version 26.6.2 (Build 25G83)
Apple M5 Max,uint32,sorted,134217728,1,gpu-quicksort,91.755,86.214,512,16384,4096,14,16384,2,true,0.5.0,daefabcd5b9a6b33c15bbfb51561bd493900dc5a37ad5b75a09f8ca0da89ca3b,Apple M5 Max,Version 26.6.2 (Build 25G83)
Apple M5 Max,uint32,sorted,134217728,2,gpu-quicksort,91.881,86.862,512,16384,4096,14,16384,2,true,0.5.0,daefabcd5b9a6b33c15bbfb51561bd493900dc5a37ad5b75a09f8ca0da89ca3b,Apple M5 Max,Version 26.6.2 (Build 25G83)
Apple M5 Max,uint32,sorted,134217728,3,gpu-quicksort,89.550,84.059,512,16384,4096,14,16384,2,true,0.5.0,daefabcd5b9a6b33c15bbfb51561bd493900dc5a37ad5b75a09f8ca0da89ca3b,Apple M5 Max,Version 26.6.2 (Build 25G83)
Apple M5 Max,uint32,sorted,134217728,4,gpu-quicksort,91.087,86.517,512,16384,4096,14,16384,2,true,0.5.0,daefabcd5b9a6b33c15bbfb51561bd493900dc5a37ad5b75a09f8ca0da89ca3b,Apple M5 Max,Version 26.6.2 (Build 25G83)
Apple M5 Max,uint32,sorted,134217728,5,gpu-quicksort,92.370,87.270,512,16384,4096,14,16384,2,true,0.5.0,daefabcd5b9a6b33c15bbfb51561bd493900dc5a37ad5b75a09f8ca0da89ca3b,Apple M5 Max,Version 26.6.2 (Build 25G83)
Apple M5 Max,uint32,sorted,268435456,1,gpu-quicksort,183.568,173.424,512,32768,4096,15,32768,2,true,0.5.0,daefabcd5b9a6b33c15bbfb51561bd493900dc5a37ad5b75a09f8ca0da89ca3b,Apple M5 Max,Version 26.6.2 (Build 25G83)
Apple M5 Max,uint32,sorted,268435456,2,gpu-quicksort,178.057,171.961,512,32768,4096,15,32768,2,true,0.5.0,daefabcd5b9a6b33c15bbfb51561bd493900dc5a37ad5b75a09f8ca0da89ca3b,Apple M5 Max,Version 26.6.2 (Build 25G83)
Apple M5 Max,uint32,sorted,268435456,3,gpu-quicksort,177.570,171.462,512,32768,4096,15,32768,2,true,0.5.0,daefabcd5b9a6b33c15bbfb51561bd493900dc5a37ad5b75a09f8ca0da89ca3b,Apple M5 Max,Version 26.6.2 (Build 25G83)
Apple M5 Max,uint32,sorted,268435456,4,gpu-quicksort,178.623,172.668,512,32768,4096,15,32768,2,true,0.5.0,daefabcd5b9a6b33c15bbfb51561bd493900dc5a37ad5b75a09f8ca0da89ca3b,Apple M5 Max,Version 26.6.2 (Build 25G83)
Apple M5 Max,uint32,sorted,268435456,5,gpu-quicksort,178.557,172.616,512,32768,4096,15,32768,2,true,0.5.0,daefabcd5b9a6b33c15bbfb51561bd493900dc5a37ad5b75a09f8ca0da89ca3b,Apple M5 Max,Version 26.6.2 (Build 25G83)
Apple M5 Max,uint32,sorted,536870912,1,gpu-quicksort,359.133,351.582,512,65536,4096,16,65536,2,true,0.5.0,daefabcd5b9a6b33c15bbfb51561bd493900dc5a37ad5b75a09f8ca0da89ca3b,Apple M5 Max,Version 26.6.2 (Build 25G83)
Apple M5 Max,uint32,sorted,536870912,2,gpu-quicksort,358.038,350.810,512,65536,4096,16,65536,2,true,0.5.0,daefabcd5b9a6b33c15bbfb51561bd493900dc5a37ad5b75a09f8ca0da89ca3b,Apple M5 Max,Version 26.6.2 (Build 25G83)
Apple M5 Max,uint32,sorted,536870912,3,gpu-quicksort,356.741,349.666,512,65536,4096,16,65536,2,true,0.5.0,daefabcd5b9a6b33c15bbfb51561bd493900dc5a37ad5b75a09f8ca0da89ca3b,Apple M5 Max,Version 26.6.2 (Build 25G83)
Apple M5 Max,uint32,sorted,536870912,4,gpu-quicksort,356.618,349.172,512,65536,4096,16,65536,2,true,0.5.0,daefabcd5b9a6b33c15bbfb51561bd493900dc5a37ad5b75a09f8ca0da89ca3b,Apple M5 Max,Version 26.6.2 (Build 25G83)
Apple M5 Max,uint32,sorted,536870912,5,gpu-quicksort,357.799,350.060,512,65536,4096,16,65536,2,true,0.5.0,daefabcd5b9a6b33c15bbfb51561bd493900dc5a37ad5b75a09f8ca0da89ca3b,Apple M5 Max,Version 26.6.2 (Build 25G83)
Apple M5 Max,uint32,sorted,1073741824,1,gpu-quicksort,816.453,808.891,512,65536,4096,16,65536,3,true,0.5.0,daefabcd5b9a6b33c15bbfb51561bd493900dc5a37ad5b75a09f8ca0da89ca3b,Apple M5 Max,Version 26.6.2 (Build 25G83)
Apple M5 Max,uint32,sorted,1073741824,2,gpu-quicksort,821.850,814.217,512,65536,4096,16,65536,3,true,0.5.0,daefabcd5b9a6b33c15bbfb51561bd493900dc5a37ad5b75a09f8ca0da89ca3b,Apple M5 Max,Version 26.6.2 (Build 25G83)
Apple M5 Max,uint32,sorted,1073741824,3,gpu-quicksort,815.929,808.261,512,65536,4096,16,65536,3,true,0.5.0,daefabcd5b9a6b33c15bbfb51561bd493900dc5a37ad5b75a09f8ca0da89ca3b,Apple M5 Max,Version 26.6.2 (Build 25G83)
Apple M5 Max,uint32,sorted,1073741824,4,gpu-quicksort,815.067,807.312,512,65536,4096,16,65536,3,true,0.5.0,daefabcd5b9a6b33c15bbfb51561bd493900dc5a37ad5b75a09f8ca0da89ca3b,Apple M5 Max,Version 26.6.2 (Build 25G83)
Apple M5 Max,uint32,sorted,1073741824,5,gpu-quicksort,811.426,803.956,512,65536,4096,16,65536,3,true,0.5.0,daefabcd5b9a6b33c15bbfb51561bd493900dc5a37ad5b75a09f8ca0da89ca3b,Apple M5 Max,Version 26.6.2 (Build 25G83)
Apple M5 Max,uint32,zero,134217728,1,gpu-quicksort,4.514,3.939,512,16384,4096,1,0,0,true,0.5.0,daefabcd5b9a6b33c15bbfb51561bd493900dc5a37ad5b75a09f8ca0da89ca3b,Apple M5 Max,Version 26.6.2 (Build 25G83)
Apple M5 Max,uint32,zero,134217728,2,gpu-quicksort,5.300,4.406,512,16384,4096,1,0,0,true,0.5.0,daefabcd5b9a6b33c15bbfb51561bd493900dc5a37ad5b75a09f8ca0da89ca3b,Apple M5 Max,Version 26.6.2 (Build 25G83)
Apple M5 Max,uint32,zero,134217728,3,gpu-quicksort,11.022,10.122,512,16384,4096,1,0,0,true,0.5.0,daefabcd5b9a6b33c15bbfb51561bd493900dc5a37ad5b75a09f8ca0da89ca3b,Apple M5 Max,Version 26.6.2 (Build 25G83)
Apple M5 Max,uint32,zero,134217728,4,gpu-quicksort,7.532,6.556,512,16384,4096,1,0,0,true,0.5.0,daefabcd5b9a6b33c15bbfb51561bd493900dc5a37ad5b75a09f8ca0da89ca3b,Apple M5 Max,Version 26.6.2 (Build 25G83)
Apple M5 Max,uint32,zero,134217728,5,gpu-quicksort,10.190,9.687,512,16384,4096,1,0,0,true,0.5.0,daefabcd5b9a6b33c15bbfb51561bd493900dc5a37ad5b75a09f8ca0da89ca3b,Apple M5 Max,Version 26.6.2 (Build 25G83)
Apple M5 Max,uint32,zero,268435456,1,gpu-quicksort,9.111,8.136,512,32768,4096,1,0,0,true,0.5.0,daefabcd5b9a6b33c15bbfb51561bd493900dc5a37ad5b75a09f8ca0da89ca3b,Apple M5 Max,Version 26.6.2 (Build 25G83)
Apple M5 Max,uint32,zero,268435456,2,gpu-quicksort,14.059,13.463,512,32768,4096,1,0,0,true,0.5.0,daefabcd5b9a6b33c15bbfb51561bd493900dc5a37ad5b75a09f8ca0da89ca3b,Apple M5 Max,Version 26.6.2 (Build 25G83)
Apple M5 Max,uint32,zero,268435456,3,gpu-quicksort,6.909,5.830,512,32768,4096,1,0,0,true,0.5.0,daefabcd5b9a6b33c15bbfb51561bd493900dc5a37ad5b75a09f8ca0da89ca3b,Apple M5 Max,Version 26.6.2 (Build 25G83)
Apple M5 Max,uint32,zero,268435456,4,gpu-quicksort,9.627,8.778,512,32768,4096,1,0,0,true,0.5.0,daefabcd5b9a6b33c15bbfb51561bd493900dc5a37ad5b75a09f8ca0da89ca3b,Apple M5 Max,Version 26.6.2 (Build 25G83)
Apple M5 Max,uint32,zero,268435456,5,gpu-quicksort,14.385,13.506,512,32768,4096,1,0,0,true,0.5.0,daefabcd5b9a6b33c15bbfb51561bd493900dc5a37ad5b75a09f8ca0da89ca3b,Apple M5 Max,Version 26.6.2 (Build 25G83)
Apple M5 Max,uint32,zero,536870912,1,gpu-quicksort,19.516,18.490,512,65536,4096,1,0,0,true,0.5.0,daefabcd5b9a6b33c15bbfb51561bd493900dc5a37ad5b75a09f8ca0da89ca3b,Apple M5 Max,Version 26.6.2 (Build 25G83)
Apple M5 Max,uint32,zero,536870912,2,gpu-quicksort,23.395,22.316,512,65536,4096,1,0,0,true,0.5.0,daefabcd5b9a6b33c15bbfb51561bd493900dc5a37ad5b75a09f8ca0da89ca3b,Apple M5 Max,Version 26.6.2 (Build 25G83)
Apple M5 Max,uint32,zero,536870912,3,gpu-quicksort,20.124,18.876,512,65536,4096,1,0,0,true,0.5.0,daefabcd5b9a6b33c15bbfb51561bd493900dc5a37ad5b75a09f8ca0da89ca3b,Apple M5 Max,Version 26.6.2 (Build 25G83)
Apple M5 Max,uint32,zero,536870912,4,gpu-quicksort,20.297,19.010,512,65536,4096,1,0,0,true,0.5.0,daefabcd5b9a6b33c15bbfb51561bd493900dc5a37ad5b75a09f8ca0da89ca3b,Apple M5 Max,Version 26.6.2 (Build 25G83)
Apple M5 Max,uint32,zero,536870912,5,gpu-quicksort,19.876,18.646,512,65536,4096,1,0,0,true,0.5.0,daefabcd5b9a6b33c15bbfb51561bd493900dc5a37ad5b75a09f8ca0da89ca3b,Apple M5 Max,Version 26.6.2 (Build 25G83)
Apple M5 Max,uint32,zero,1073741824,1,gpu-quicksort,25.185,24.064,512,65536,4096,1,0,0,true,0.5.0,daefabcd5b9a6b33c15bbfb51561bd493900dc5a37ad5b75a09f8ca0da89ca3b,Apple M5 Max,Version 26.6.2 (Build 25G83)
Apple M5 Max,uint32,zero,1073741824,2,gpu-quicksort,24.476,23.497,512,65536,4096,1,0,0,true,0.5.0,daefabcd5b9a6b33c15bbfb51561bd493900dc5a37ad5b75a09f8ca0da89ca3b,Apple M5 Max,Version 26.6.2 (Build 25G83)
Apple M5 Max,uint32,zero,1073741824,3,gpu-quicksort,25.442,24.155,512,65536,4096,1,0,0,true,0.5.0,daefabcd5b9a6b33c15bbfb51561bd493900dc5a37ad5b75a09f8ca0da89ca3b,Apple M5 Max,Version 26.6.2 (Build 25G83)
Apple M5 Max,uint32,zero,1073741824,4,gpu-quicksort,25.411,24.162,512,65536,4096,1,0,0,true,0.5.0,daefabcd5b9a6b33c15bbfb51561bd493900dc5a37ad5b75a09f8ca0da89ca3b,Apple M5 Max,Version 26.6.2 (Build 25G83)
Apple M5 Max,uint32,zero,1073741824,5,gpu-quicksort,25.239,24.076,512,65536,4096,1,0,0,true,0.5.0,daefabcd5b9a6b33c15bbfb51561bd493900dc5a37ad5b75a09f8ca0da89ca3b,Apple M5 Max,Version 26.6.2 (Build 25G83)
Apple M5 Max,uint32,bucket,134217728,1,gpu-quicksort,97.308,91.597,512,16384,4096,15,16512,2,true,0.5.0,daefabcd5b9a6b33c15bbfb51561bd493900dc5a37ad5b75a09f8ca0da89ca3b,Apple M5 Max,Version 26.6.2 (Build 25G83)
Apple M5 Max,uint32,bucket,134217728,2,gpu-quicksort,96.718,91.527,512,16384,4096,15,16512,2,true,0.5.0,daefabcd5b9a6b33c15bbfb51561bd493900dc5a37ad5b75a09f8ca0da89ca3b,Apple M5 Max,Version 26.6.2 (Build 25G83)
Apple M5 Max,uint32,bucket,134217728,3,gpu-quicksort,97.392,91.426,512,16384,4096,15,16512,2,true,0.5.0,daefabcd5b9a6b33c15bbfb51561bd493900dc5a37ad5b75a09f8ca0da89ca3b,Apple M5 Max,Version 26.6.2 (Build 25G83)
Apple M5 Max,uint32,bucket,134217728,4,gpu-quicksort,94.109,88.691,512,16384,4096,15,16512,2,true,0.5.0,daefabcd5b9a6b33c15bbfb51561bd493900dc5a37ad5b75a09f8ca0da89ca3b,Apple M5 Max,Version 26.6.2 (Build 25G83)
Apple M5 Max,uint32,bucket,134217728,5,gpu-quicksort,97.197,91.713,512,16384,4096,15,16512,2,true,0.5.0,daefabcd5b9a6b33c15bbfb51561bd493900dc5a37ad5b75a09f8ca0da89ca3b,Apple M5 Max,Version 26.6.2 (Build 25G83)
Apple M5 Max,uint32,bucket,268435456,1,gpu-quicksort,187.919,181.571,512,32768,4096,16,33024,2,true,0.5.0,daefabcd5b9a6b33c15bbfb51561bd493900dc5a37ad5b75a09f8ca0da89ca3b,Apple M5 Max,Version 26.6.2 (Build 25G83)
Apple M5 Max,uint32,bucket,268435456,2,gpu-quicksort,189.557,183.243,512,32768,4096,16,33024,2,true,0.5.0,daefabcd5b9a6b33c15bbfb51561bd493900dc5a37ad5b75a09f8ca0da89ca3b,Apple M5 Max,Version 26.6.2 (Build 25G83)
Apple M5 Max,uint32,bucket,268435456,3,gpu-quicksort,188.682,182.073,512,32768,4096,16,33024,2,true,0.5.0,daefabcd5b9a6b33c15bbfb51561bd493900dc5a37ad5b75a09f8ca0da89ca3b,Apple M5 Max,Version 26.6.2 (Build 25G83)
Apple M5 Max,uint32,bucket,268435456,4,gpu-quicksort,186.524,180.039,512,32768,4096,16,33024,2,true,0.5.0,daefabcd5b9a6b33c15bbfb51561bd493900dc5a37ad5b75a09f8ca0da89ca3b,Apple M5 Max,Version 26.6.2 (Build 25G83)
Apple M5 Max,uint32,bucket,268435456,5,gpu-quicksort,188.763,182.404,512,32768,4096,16,33024,2,true,0.5.0,daefabcd5b9a6b33c15bbfb51561bd493900dc5a37ad5b75a09f8ca0da89ca3b,Apple M5 Max,Version 26.6.2 (Build 25G83)
Apple M5 Max,uint32,bucket,536870912,1,gpu-quicksort,372.639,365.440,512,65536,4096,17,66048,2,true,0.5.0,daefabcd5b9a6b33c15bbfb51561bd493900dc5a37ad5b75a09f8ca0da89ca3b,Apple M5 Max,Version 26.6.2 (Build 25G83)
Apple M5 Max,uint32,bucket,536870912,2,gpu-quicksort,372.660,365.260,512,65536,4096,17,66048,2,true,0.5.0,daefabcd5b9a6b33c15bbfb51561bd493900dc5a37ad5b75a09f8ca0da89ca3b,Apple M5 Max,Version 26.6.2 (Build 25G83)
