device,key,distribution,n,run,algorithm,wall_ms,gpu_ms,threads,maxseq,minseq,phase1_iterations,phase1_sequences,max_stack_depth,verified,gpuqsort_version,metallib_sha256,tuning_entry,os_version
Apple M5 Max,uint32,uniform,33554432,3,cpu-stdsort-par,193.199,,,,,,,,true,0.4.0,daefabcd5b9a6b33c15bbfb51561bd493900dc5a37ad5b75a09f8ca0da89ca3b,,Version 26.6.2 (Build 25G83)
Apple M5 Max,uint32,uniform,33554432,4,cpu-stdsort-par,193.235,,,,,,,,true,0.4.0,daefabcd5b9a6b33c15bbfb51561bd493900dc5a37ad5b75a09f8ca0da89ca3b,,Version 26.6.2 (Build 25G83)
Apple M5 Max,uint32,uniform,33554432,5,cpu-stdsort-par,192.596,,,,,,,,true,0.4.0,daefabcd5b9a6b33c15bbfb51561bd493900dc5a37ad5b75a09f8ca0da89ca3b,,Version 26.6.2 (Build 25G83)
Apple M5 Max,uint32,uniform,67108864,1,gpu-quicksort,43.184,39.189,512,8192,4096,13,8192,2,true,0.4.0,daefabcd5b9a6b33c15bbfb51561bd493900dc5a37ad5b75a09f8ca0da89ca3b,Apple M5 Max,Version 26.6.2 (Build 25G83)
Apple M5 Max,uint32,uniform,67108864,2,gpu-quicksort,42.783,38.711,512,8192,4096,13,8192,2,true,0.4.0,daefabcd5b9a6b33c15bbfb51561bd493900dc5a37ad5b75a09f8ca0da89ca3b,Apple M5 Max,Version 26.6.2 (Build 25G83)
Apple M5 Max,uint32,uniform,67108864,3,gpu-quicksort,42.982,38.908,512,8192,4096,13,8192,2,true,0.4.0,daefabcd5b9a6b33c15bbfb51561bd493900dc5a37ad5b75a09f8ca0da89ca3b,Apple M5 Max,Version 26.6.2 (Build 25G83)
Apple M5 Max,uint32,uniform,67108864,4,gpu-quicksort,43.461,38.597,512,8192,4096,13,8192,2,true,0.4.0,daefabcd5b9a6b33c15bbfb51561bd493900dc5a37ad5b75a09f8ca0da89ca3b,Apple M5 Max,Version 26.6.2 (Build 25G83)
Apple M5 Max,uint32,uniform,67108864,5,gpu-quicksort,43.456,38.434,512,8192,4096,13,8192,2,true,0.4.0,daefabcd5b9a6b33c15bbfb51561bd493900dc5a37ad5b75a09f8ca0da89ca3b,Apple M5 Max,Version 26.6.2 (Build 25G83)
Apple M5 Max,uint32,uniform,67108864,1,cpu-swift,6259.216,,,,,,,,true,0.4.0,daefabcd5b9a6b33c15bbfb51561bd493900dc5a37ad5b75a09f8ca0da89ca3b,,Version 26.6.2 (Build 25G83)
Apple M5 Max,uint32,uniform,67108864,2,cpu-swift,6255.149,,,,,,,,true,0.4.0,daefabcd5b9a6b33c15bbfb51561bd493900dc5a37ad5b75a09f8ca0da89ca3b,,Version 26.6.2 (Build 25G83)
Apple M5 Max,uint32,uniform,67108864,3,cpu-swift,6262.038,,,,,,,,true,0.4.0,daefabcd5b9a6b33c15bbfb51561bd493900dc5a37ad5b75a09f8ca0da89ca3b,,Version 26.6.2 (Build 25G83)
Apple M5 Max,uint32,uniform,67108864,4,cpu-swift,6240.872,,,,,,,,true,0.4.0,daefabcd5b9a6b33c15bbfb51561bd493900dc5a37ad5b75a09f8ca0da89ca3b,,Version 26.6.2 (Build 25G83)
Apple M5 Max,uint32,uniform,67108864,5,cpu-swift,6236.116,,,,,,,,true,0.4.0,daefabcd5b9a6b33c15bbfb51561bd493900dc5a37ad5b75a09f8ca0da89ca3b,,Version 26.6.2 (Build 25G83)
Apple M5 Max,uint32,uniform,67108864,1,cpu-qsort,5295.506,,,,,,,,true,0.4.0,daefabcd5b9a6b33c15bbfb51561bd493900dc5a37ad5b75a09f8ca0da89ca3b,,Version 26.6.2 (Build 25G83)
Apple M5 Max,uint32,uniform,67108864,2,cpu-qsort,5322.343,,,,,,,,true,0.4.0,daefabcd5b9a6b33c15bbfb51561bd493900dc5a37ad5b75a09f8ca0da89ca3b,,Version 26.6.2 (Build 25G83)
Apple M5 Max,uint32,uniform,67108864,3,cpu-qsort,5330.719,,,,,,,,true,0.4.0,daefabcd5b9a6b33c15bbfb51561bd493900dc5a37ad5b75a09f8ca0da89ca3b,,Version 26.6.2 (Build 25G83)
Apple M5 Max,uint32,uniform,67108864,4,cpu-qsort,5305.494,,,,,,,,true,0.4.0,daefabcd5b9a6b33c15bbfb51561bd493900dc5a37ad5b75a09f8ca0da89ca3b,,Version 26.6.2 (Build 25G83)
Apple M5 Max,uint32,uniform,67108864,5,cpu-qsort,5326.712,,,,,,,,true,0.4.0,daefabcd5b9a6b33c15bbfb51561bd493900dc5a37ad5b75a09f8ca0da89ca3b,,Version 26.6.2 (Build 25G83)
Apple M5 Max,uint32,uniform,67108864,1,cpu-stdsort,1051.782,,,,,,,,true,0.4.0,daefabcd5b9a6b33c15bbfb51561bd493900dc5a37ad5b75a09f8ca0da89ca3b,,Version 26.6.2 (Build 25G83)
Apple M5 Max,uint32,uniform,67108864,2,cpu-stdsort,1059.603,,,,,,,,true,0.4.0,daefabcd5b9a6b33c15bbfb51561bd493900dc5a37ad5b75a09f8ca0da89ca3b,,Version 26.6.2 (Build 25G83)
Apple M5 Max,uint32,uniform,67108864,3,cpu-stdsort,1050.530,,,,,,,,true,0.4.0,daefabcd5b9a6b33c15bbfb51561bd493900dc5a37ad5b75a09f8ca0da89ca3b,,Version 26.6.2 (Build 25G83)
Apple M5 Max,uint32,uniform,67108864,4,cpu-stdsort,1050.201,,,,,,,,true,0.4.0,daefabcd5b9a6b33c15bbfb51561bd493900dc5a37ad5b75a09f8ca0da89ca3b,,Version 26.6.2 (Build 25G83)
Apple M5 Max,uint32,uniform,67108864,5,cpu-stdsort,1056.331,,,,,,,,true,0.4.0,daefabcd5b9a6b33c15bbfb51561bd493900dc5a37ad5b75a09f8ca0da89ca3b,,Version 26.6.2 (Build 25G83)
Apple M5 Max,uint32,uniform,67108864,1,cpu-stdsort-par,390.409,,,,,,,,true,0.4.0,daefabcd5b9a6b33c15bbfb51561bd493900dc5a37ad5b75a09f8ca0da89ca3b,,Version 26.6.2 (Build 25G83)
Apple M5 Max,uint32,uniform,67108864,2,cpu-stdsort-par,386.079,,,,,,,,true,0.4.0,daefabcd5b9a6b33c15bbfb51561bd493900dc5a37ad5b75a09f8ca0da89ca3b,,Version 26.6.2 (Build 25G83)
Apple M5 Max,uint32,uniform,67108864,3,cpu-stdsort-par,387.849,,,,,,,,true,0.4.0,daefabcd5b9a6b33c15bbfb51561bd493900dc5a37ad5b75a09f8ca0da89ca3b,,Version 26.6.2 (Build 25G83)
Apple M5 Max,uint32,uniform,67108864,4,cpu-stdsort-par,387.141,,,,,,,,true,0.4.0,daefabcd5b9a6b33c15bbfb51561bd493900dc5a37ad5b75a09f8ca0da89ca3b,,Version 26.6.2 (Build 25G83)
Apple M5 Max,uint32,uniform,67108864,5,cpu-stdsort-par,387.512,,,,,,,,true,0.4.0,daefabcd5b9a6b33c15bbfb51561bd493900dc5a37ad5b75a09f8ca0da89ca3b,,Version 26.6.2 (Build 25G83)
Apple M5 Max,uint32,sorted,33554432,1,gpu-quicksort,22.969,18.398,512,4096,4096,12,4096,2,true,0.4.0,daefabcd5b9a6b33c15bbfb51561bd493900dc5a37ad5b75a09f8ca0da89ca3b,Apple M5 Max,Version 26.6.2 (Build 25G83)
Apple M5 Max,uint32,sorted,33554432,2,gpu-quicksort,22.677,18.904,512,4096,4096,12,4096,2,true,0.4.0,daefabcd5b9a6b33c15bbfb51561bd493900dc5a37ad5b75a09f8ca0da89ca3b,Apple M5 Max,Version 26.6.2 (Build 25G83)
Apple M5 Max,uint32,sorted,33554432,3,gpu-quicksort,23.070,18.549,512,4096,4096,12,4096,2,true,0.4.0,daefabcd5b9a6b33c15bbfb51561bd493900dc5a37ad5b75a09f8ca0da89ca3b,Apple M5 Max,Version 26.6.2 (Build 25G83)
Apple M5 Max,uint32,sorted,33554432,4,gpu-quicksort,22.986,18.610,512,4096,4096,12,4096,2,true,0.4.0,daefabcd5b9a6b33c15bbfb51561bd493900dc5a37ad5b75a09f8ca0da89ca3b,Apple M5 Max,Version 26.6.2 (Build 25G83)
Apple M5 Max,uint32,sorted,33554432,5,gpu-quicksort,22.926,18.594,512,4096,4096,12,4096,2,true,0.4.0,daefabcd5b9a6b33c15bbfb51561bd493900dc5a37ad5b75a09f8ca0da89ca3b,Apple M5 Max,Version 26.6.2 (Build 25G83)
Apple M5 Max,uint32,sorted,33554432,1,cpu-swift,22.393,,,,,,,,true,0.4.0,daefabcd5b9a6b33c15bbfb51561bd493900dc5a37ad5b75a09f8ca0da89ca3b,,Version 26.6.2 (Build 25G83)
Apple M5 Max,uint32,sorted,33554432,2,cpu-swift,22.382,,,,,,,,true,0.4.0,daefabcd5b9a6b33c15bbfb51561bd493900dc5a37ad5b75a09f8ca0da89ca3b,,Version 26.6.2 (Build 25G83)
Apple M5 Max,uint32,sorted,33554432,3,cpu-swift,22.470,,,,,,,,true,0.4.0,daefabcd5b9a6b33c15bbfb51561bd493900dc5a37ad5b75a09f8ca0da89ca3b,,Version 26.6.2 (Build 25G83)
Apple M5 Max,uint32,sorted,33554432,4,cpu-swift,22.274,,,,,,,,true,0.4.0,daefabcd5b9a6b33c15bbfb51561bd493900dc5a37ad5b75a09f8ca0da89ca3b,,Version 26.6.2 (Build 25G83)
Apple M5 Max,uint32,sorted,33554432,5,cpu-swift,22.393,,,,,,,,true,0.4.0,daefabcd5b9a6b33c15bbfb51561bd493900dc5a37ad5b75a09f8ca0da89ca3b,,Version 26.6.2 (Build 25G83)
Apple M5 Max,uint32,sorted,33554432,1,cpu-qsort,83.621,,,,,,,,true,0.4.0,daefabcd5b9a6b33c15bbfb51561bd493900dc5a37ad5b75a09f8ca0da89ca3b,,Version 26.6.2 (Build 25G83)
Apple M5 Max,uint32,sorted,33554432,2,cpu-qsort,77.806,,,,,,,,true,0.4.0,daefabcd5b9a6b33c15bbfb51561bd493900dc5a37ad5b75a09f8ca0da89ca3b,,Version 26.6.2 (Build 25G83)
Apple M5 Max,uint32,sorted,33554432,3,cpu-qsort,80.104,,,,,,,,true,0.4.0,daefabcd5b9a6b33c15bbfb51561bd493900dc5a37ad5b75a09f8ca0da89ca3b,,Version 26.6.2 (Build 25G83)
Apple M5 Max,uint32,sorted,33554432,4,cpu-qsort,79.458,,,,,,,,true,0.4.0,daefabcd5b9a6b33c15bbfb51561bd493900dc5a37ad5b75a09f8ca0da89ca3b,,Version 26.6.2 (Build 25G83)
Apple M5 Max,uint32,sorted,33554432,5,cpu-qsort,79.199,,,,,,,,true,0.4.0,daefabcd5b9a6b33c15bbfb51561bd493900dc5a37ad5b75a09f8ca0da89ca3b,,Version 26.6.2 (Build 25G83)
Apple M5 Max,uint32,sorted,33554432,1,cpu-stdsort,21.996,,,,,,,,true,0.4.0,daefabcd5b9a6b33c15bbfb51561bd493900dc5a37ad5b75a09f8ca0da89ca3b,,Version 26.6.2 (Build 25G83)
Apple M5 Max,uint32,sorted,33554432,2,cpu-stdsort,22.012,,,,,,,,true,0.4.0,daefabcd5b9a6b33c15bbfb51561bd493900dc5a37ad5b75a09f8ca0da89ca3b,,Version 26.6.2 (Build 25G83)
Apple M5 Max,uint32,sorted,33554432,3,cpu-stdsort,18.494,,,,,,,,true,0.4.0,daefabcd5b9a6b33c15bbfb51561bd493900dc5a37ad5b75a09f8ca0da89ca3b,,Version 26.6.2 (Build 25G83)
Apple M5 Max,uint32,sorted,33554432,4,cpu-stdsort,18.785,,,,,,,,true,0.4.0,daefabcd5b9a6b33c15bbfb51561bd493900dc5a37ad5b75a09f8ca0da89ca3b,,Version 26.6.2 (Build 25G83)
Apple M5 Max,uint32,sorted,33554432,5,cpu-stdsort,14.725,,,,,,,,true,0.4.0,daefabcd5b9a6b33c15bbfb51561bd493900dc5a37ad5b75a09f8ca0da89ca3b,,Version 26.6.2 (Build 25G83)
Apple M5 Max,uint32,sorted,33554432,1,cpu-stdsort-par,59.249,,,,,,,,true,0.4.0,daefabcd5b9a6b33c15bbfb51561bd493900dc5a37ad5b75a09f8ca0da89ca3b,,Version 26.6.2 (Build 25G83)
Apple M5 Max,uint32,sorted,33554432,2,cpu-stdsort-par,53.685,,,,,,,,true,0.4.0,daefabcd5b9a6b33c15bbfb51561bd493900dc5a37ad5b75a09f8ca0da89ca3b,,Version 26.6.2 (Build 25G83)
Apple M5 Max,uint32,sorted,33554432,3,cpu-stdsort-par,56.480,,,,,,,,true,0.4.0,daefabcd5b9a6b33c15bbfb51561bd493900dc5a37ad5b75a09f8ca0da89ca3b,,Version 26.6.2 (Build 25G83)
Apple M5 Max,uint32,sorted,33554432,4,cpu-stdsort-par,59.174,,,,,,,,true,0.4.0,daefabcd5b9a6b33c15bbfb51561bd493900dc5a37ad5b75a09f8ca0da89ca3b,,Version 26.6.2 (Build 25G83)
Apple M5 Max,uint32,sorted,33554432,5,cpu-stdsort-par,55.508,,,,,,,,true,0.4.0,daefabcd5b9a6b33c15bbfb51561bd493900dc5a37ad5b75a09f8ca0da89ca3b,,Version 26.6.2 (Build 25G83)
Apple M5 Max,uint32,sorted,67108864,1,gpu-quicksort,43.196,38.366,512,8192,4096,13,8192,2,true,0.4.0,daefabcd5b9a6b33c15bbfb51561bd493900dc5a37ad5b75a09f8ca0da89ca3b,Apple M5 Max,Version 26.6.2 (Build 25G83)
Apple M5 Max,uint32,sorted,67108864,2,gpu-quicksort,43.442,38.380,512,8192,4096,13,8192,2,true,0.4.0,daefabcd5b9a6b33c15bbfb51561bd493900dc5a37ad5b75a09f8ca0da89ca3b,Apple M5 Max,Version 26.6.2 (Build 25G83)
Apple M5 Max,uint32,sorted,67108864,3,gpu-quicksort,43.473,38.378,512,8192,4096,13,8192,2,true,0.4.0,daefabcd5b9a6b33c15bbfb51561bd493900dc5a37ad5b75a09f8ca0da89ca3b,Apple M5 Max,Version 26.6.2 (Build 25G83)
Apple M5 Max,uint32,sorted,67108864,4,gpu-quicksort,43.227,39.218,512,8192,4096,13,8192,2,true,0.4.0,daefabcd5b9a6b33c15bbfb51561bd493900dc5a37ad5b75a09f8ca0da89ca3b,Apple M5 Max,Version 26.6.2 (Build 25G83)
Apple M5 Max,uint32,sorted,67108864,5,gpu-quicksort,43.485,38.450,512,8192,4096,13,8192,2,true,0.4.0,daefabcd5b9a6b33c15bbfb51561bd493900dc5a37ad5b75a09f8ca0da89ca3b,Apple M5 Max,Version 26.6.2 (Build 25G83)
Apple M5 Max,uint32,sorted,67108864,1,cpu-swift,46.119,,,,,,,,true,0.4.0,daefabcd5b9a6b33c15bbfb51561bd493900dc5a37ad5b75a09f8ca0da89ca3b,,Version 26.6.2 (Build 25G83)
Apple M5 Max,uint32,sorted,67108864,2,cpu-swift,45.252,,,,,,,,true,0.4.0,daefabcd5b9a6b33c15bbfb51561bd493900dc5a37ad5b75a09f8ca0da89ca3b,,Version 26.6.2 (Build 25G83)
Apple M5 Max,uint32,sorted,67108864,3,cpu-swift,45.067,,,,,,,,true,0.4.0,daefabcd5b9a6b33c15bbfb51561bd493900dc5a37ad5b75a09f8ca0da89ca3b,,Version 26.6.2 (Build 25G83)
Apple M5 Max,uint32,sorted,67108864,4,cpu-swift,45.033,,,,,,,,true,0.4.0,daefabcd5b9a6b33c15bbfb51561bd493900dc5a37ad5b75a09f8ca0da89ca3b,,Version 26.6.2 (Build 25G83)
Apple M5 Max,uint32,sorted,67108864,5,cpu-swift,45.237,,,,,,,,true,0.4.0,daefabcd5b9a6b33c15bbfb51561bd493900dc5a37ad5b75a09f8ca0da89ca3b,,Version 26.6.2 (Build 25G83)
Apple M5 Max,uint32,sorted,67108864,1,cpu-qsort,165.715,,,,,,,,true,0.4.0,daefabcd5b9a6b33c15bbfb51561bd493900dc5a37ad5b75a09f8ca0da89ca3b,,Version 26.6.2 (Build 25G83)
Apple M5 Max,uint32,sorted,67108864,2,cpu-qsort,164.112,,,,,,,,true,0.4.0,daefabcd5b9a6b33c15bbfb51561bd493900dc5a37ad5b75a09f8ca0da89ca3b,,Version 26.6.2 (Build 25G83)
Apple M5 Max,uint32,sorted,67108864,3,cpu-qsort,160.198,,,,,,,,true,0.4.0,daefabcd5b9a6b33c15bbfb51561bd493900dc5a37ad5b75a09f8ca0da89ca3b,,Version 26.6.2 (Build 25G83)
Apple M5 Max,uint32,sorted,67108864,4,cpu-qsort,163.965,,,,,,,,true,0.4.0,daefabcd5b9a6b33c15bbfb51561bd493900dc5a37ad5b75a09f8ca0da89ca3b,,Version 26.6.2 (Build 25G83)
Apple M5 Max,uint32,sorted,67108864,5,cpu-qsort,164.340,,,,,,,,true,0.4.0,daefabcd5b9a6b33c15bbfb51561bd493900dc5a37ad5b75a09f8ca0da89ca3b,,Version 26.6.2 (Build 25G83)
Apple M5 Max,uint32,sorted,67108864,1,cpu-stdsort,43.852,,,,,,,,true,0.4.0,daefabcd5b9a6b33c15bbfb51561bd493900dc5a37ad5b75a09f8ca0da89ca3b,,Version 26.6.2 (Build 25G83)
Apple M5 Max,uint32,sorted,67108864,2,cpu-stdsort,43.905,,,,,,,,true,0.4.0,daefabcd5b9a6b33c15bbfb51561bd493900dc5a37ad5b75a09f8ca0da89ca3b,,Version 26.6.2 (Build 25G83)
